game_name,condition_label,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,game_metric_name,game_metric_value,agent_1_mean_overall_state,agent_2_mean_overall_state
Battle of Sexes,fixed-tit_for_tat__vs__fixed-tit_for_tat,1000.0,600.0,400.0,agreement rate,0.0,-0.8497776120618052,-0.7918144835878277
Battle of Sexes,rational__vs__fixed-tit_for_tat,683.25,273.85,409.4,agreement rate,0.0,-0.4694020063488745,-0.7869522313333138
Battle of Sexes,fixed-tit_for_tat__vs__rational,678.75,272.1,406.65,agreement rate,0.0,-0.7688721201824119,-0.4920516985188903
Battle of Sexes,rational__vs__rational,550.75,265.2,285.55,agreement rate,0.55075,-0.4086493157594385,-0.3899245298167302
Battle of Sexes,fixed-tit_for_tat__vs__emotional-neutral-neutral,529.0,212.15,316.85,agreement rate,0.0,-0.7600380813190117,-0.7829371410218259
Prisoners Dilemma,fixed-tit_for_tat__vs__fixed-tit_for_tat,1200.0,600.0,600.0,mutual cooperation rate,1.0,-0.7502776120618052,-0.6943944835878275
Prisoners Dilemma,emotional-neutral-neutral__vs__fixed-tit_for_tat,901.35,452.3,449.05,mutual cooperation rate,0.28150000000000003,-0.7745704669953877,-0.7203052017693434
Prisoners Dilemma,hybrid-neutral-neutral__vs__emotional-neutral-neutral,897.9,453.2,444.7,mutual cooperation rate,0.24175,-1.0126042761069425,-0.7558851217351545
Prisoners Dilemma,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,896.55,441.15,455.4,mutual cooperation rate,0.24925,-1.01270605655854,-0.9942141351090332
Prisoners Dilemma,emotional-neutral-neutral__vs__hybrid-neutral-neutral,896.45,458.1,438.35,mutual cooperation rate,0.23675,-0.780527204044614,-0.952226590143947
Ultimatum Game,hybrid-neutral-neutral__vs__rational,1183.0,572.0575,610.9425,acceptance rate / mean offer,0.5915 / 5.433613172814509,-1.071295196202788,-0.1755960793851625
Ultimatum Game,rational__vs__rational,1162.5,591.5224999999999,570.9775,acceptance rate / mean offer,0.58125 / 5.08537772851627,-0.1699535347948974,-0.1673417109195902
Ultimatum Game,fixed-tit_for_tat__vs__rational,1156.5,578.25,578.25,acceptance rate / mean offer,0.57825 / 0.0,-0.7994836007616404,-0.0796904877405273
Ultimatum Game,emotional-neutral-neutral__vs__rational,1144.0,550.4875000000001,593.5124999999999,acceptance rate / mean offer,0.5720000000000001 / 5.638919480345601,-0.7996298123711756,-0.1925650381756211
Ultimatum Game,emotional-neutral-neutral__vs__hybrid-neutral-neutral,703.5,343.34250000000003,360.1575,acceptance rate / mean offer,0.35175 / 5.412945686870658,-0.7627646715581176,-0.9880351257797264
