game_name,personality,intensity,pair_payoff_mean,agent_1_payoff_mean,agent_1_state_mean,negative_state_share
Battle of Sexes,neutral,neutral,504.75,236.6,-1.1044174118464942,0.99925
Battle of Sexes,optimistic,low,502.9166666666667,235.16666666666666,-1.1111286611751143,0.9994999999999999
Battle of Sexes,neutral,high,500.75,234.91666666666666,-1.0884293068954523,0.9986666666666667
Battle of Sexes,pessimistic,neutral,500.4166666666667,234.0,-1.13981529549742,1.0
Battle of Sexes,neutral,low,498.5,232.73333333333335,-1.1384414713452566,0.99925
Battle of Sexes,pessimistic,high,498.5,232.48333333333335,-1.1073564332315373,1.0
Battle of Sexes,optimistic,neutral,497.1666666666667,233.13333333333333,-1.082387427633716,0.9993333333333334
Battle of Sexes,pessimistic,low,497.0,232.5,-1.1787798301964523,1.0
Battle of Sexes,optimistic,high,496.5833333333333,232.83333333333334,-1.088327519719791,0.9993333333333334
Prisoners Dilemma,pessimistic,neutral,905.25,448.5833333333333,-1.0655818911513741,0.9999166666666667
Prisoners Dilemma,neutral,low,903.6333333333332,445.7333333333333,-1.1182481132618352,0.99925
Prisoners Dilemma,pessimistic,low,902.8166666666666,448.7,-1.127383843663976,1.0
Prisoners Dilemma,optimistic,neutral,899.5666666666667,447.20000000000005,-0.9729559549604169,0.9958333333333332
Prisoners Dilemma,optimistic,low,899.1166666666667,448.34999999999997,-1.053866838695039,0.9988333333333334
Prisoners Dilemma,optimistic,high,898.25,445.75,-0.9698700563409698,0.995
Prisoners Dilemma,neutral,high,896.3833333333333,451.06666666666666,-1.0187293712233374,0.99825
Prisoners Dilemma,pessimistic,high,895.3833333333333,453.23333333333335,-1.0237226196944202,0.99925
Prisoners Dilemma,neutral,neutral,891.9500000000002,450.6833333333334,-1.0523306790614717,0.9989166666666667
Ultimatum Game,neutral,high,0.0,0.0,-0.9891469569653322,0.9979999999999999
Ultimatum Game,neutral,low,0.0,0.0,-1.0093471280111508,0.999
Ultimatum Game,neutral,neutral,0.0,0.0,-0.9986800508740248,0.9987499999999999
Ultimatum Game,optimistic,high,0.0,0.0,-1.0212538502491646,0.99925
Ultimatum Game,optimistic,low,0.0,0.0,-1.026525030436393,0.9994999999999999
Ultimatum Game,optimistic,neutral,0.0,0.0,-1.0127955145300946,0.9987499999999999
Ultimatum Game,pessimistic,high,0.0,0.0,-1.026592947413054,1.0
Ultimatum Game,pessimistic,low,0.0,0.0,-1.03096340165493,1.0
Ultimatum Game,pessimistic,neutral,0.0,0.0,-1.0064239285575398,0.99825
